Feature,OR,OR_Lower,OR_Upper,Coef,display_name
spo2_max,1.4099382351260439,0.6442324331236594,1.3868939760974852,0.3435458985554692,SpO2 (max)
gender,0.8736795839062185,0.7922604489079749,1.7140503076556732,-0.13504157934699137,Sex
aniongap_min,1.3650250224080678,0.8616930140473313,2.6244380926528876,0.31117275990338633,AG (min)
lactate_max,1.0811284497429547,0.7279102806226718,1.8381980641433442,0.07800535652205157,Lac (max)
wbc_max,1.31376502012091,0.8537371717841516,2.0176037080657996,0.27289707615672926,WBC (max)
bun_min,1.3135874672294745,0.8357629112477424,2.5708646380673352,0.2727619188890535,BUN (min)
alp_min,0.7298263629823477,0.6479644367999199,1.4398615017486398,-0.3149486320609125,ALP (min)
rdw_max,1.474219419774882,0.9151269761989506,2.1961121968622326,0.38812864278008824,RDW (max)
ph_min,0.7088030265039404,0.24379011777865708,0.7032725446112409,-0.34417760980204604,pH (min)
albumin_min,0.577797767630173,0.31986578302046614,0.8923609408535965,-0.5485313545258752,Alb (min)
creatinine_max,1.4699068349439528,1.040836248901515,3.4761874121023735,0.38519902119305294,Creat (max)
pao2fio2ratio_min,0.43532631059887555,0.28225334954934367,0.923880027908648,-0.8316593897995593,P/F (min)
